"ID","File","GPSLongitude","GPSLatitude","Type","City","Place","Quality","Design"
"1","Kiba20160826",NA,NA,"Kiba","Du","House",2,"0"
"2","Pf20160827",NA,NA,"Pf","Du","Green",1,"A"
"3","Kiba20160828",NA,NA,"Kiba","Du","House",2,"A"
"4","Him20160829",NA,NA,"Him","W","House",2,"0"
"5","Him20160829",NA,NA,"Him","Du","Pave",-1,"A"
"6","Kiba20160820",NA,NA,"Kiba","Du","Pave",2,"A"
"7","Kiba20160902",NA,NA,"Kiba","Du","Pave",2,"0"
"8","Ora20160901",NA,NA,"Ora","Du","Pave",-2,"A"
"9","Kiba20160912",NA,NA,"Kiba","Du","Green",2,"A"
"10","Kizi20160911",NA,NA,"Kizi","Du","House",2,"0"
"11","Pf20160915",NA,NA,"Pf","Du","Pave",2,"0"
"12","AOZ20161006",NA,NA,"AOZ","W","Street",2,"0"
"13","Pf20161012",NA,NA,"Pf","W","House",2,"0"
"14","Pf20161012",NA,NA,"Pf","Du","Pave",2,"0"
"15","Zit20161029",NA,NA,"Zit","Me","Pave",2,"A"
"16","Wald20161101",NA,NA,"Wald","Me","Pave",-2,"0"
"17","Pf20161101",NA,NA,"Pf","Me","Pave",-2,"0"
"18","Him20161108",NA,NA,"Him","Du","House",-1,"A"
"19","Ora20161116",NA,NA,"Ora","Me","House",2,"0"
"20","Zit20161121",NA,NA,"Zit","Me","House",2,"A"
"21","Pf20161125",NA,NA,"Pf","Du","House",2,"0"
"22","Pf20161202",NA,NA,"Pf","W","Utilitybox",2,"0"
"23","Ora20161221",NA,NA,"Ora","Du","Utilitybox",2,"A"
"24","Wald20161221",NA,NA,"Wald","Du","Pave",2,"A"
"25","Ora20161221",NA,NA,"Ora","Du","House",1,"A"
"26","Pf20161221",NA,NA,"Pf","Du","House",1,"0"
"27","Mango20161226",NA,NA,"Mango","Du","House",2,"A"
"28","Multi20170515",NA,NA,"Multi","Du","Pave",2,"0"
"29","Him20170525",NA,NA,"Him","Du","Utilitybox",2,"A"
"30","Ora20170526",NA,NA,"Ora","Du","Pave",1,"A"
"31","Multi20170527",NA,NA,"Multi","Du","Pave",1,"A"
"32","Multi20170601",NA,NA,"Multi","Du","Green",2,"A"
"33","Pf20170617",NA,NA,"Pf","Du","Utilitybox",2,"0"
"34","Wald20170621",NA,NA,"Wald","Du","Pave",-1,"A"
"35","Wald20170621",NA,NA,"Wald","Du","Pave",-2,"0"
"36","Pf20170622",NA,NA,"Pf","Du","Pave",-2,"0"
"37","Multi20170621",NA,NA,"Multi","Du","Pave",-2,"A"
"38","Kizi20170702",NA,NA,"Kizi","Du","Green",1,"A"
"39","Multi20170702",NA,NA,"Multi","Du","Pave",-2,"0"
"40","Ora20170702",NA,NA,"Ora","Du","Pave",-2,"0"
"41","Kiba20170702",NA,NA,"Kiba","Du","Pave",-2,"0"
"42","Zit20170702",NA,NA,"Zit","Du","Street",-1,"0"
"43","Pf20170702",NA,NA,"Pf","Du","Street",-2,"A"
"44","Pf20170701",NA,NA,"Pf","Du","Train",1,"0"
"45","Granat20170701",NA,NA,"Granat","Du","Pave",2,"A"
"46","Ora20170705",NA,NA,"Ora","Du","Utilitybox",2,"0"
"47","Ora20170705",NA,NA,"Ora","Du","Utilitybox",2,"0"
"48","Kiba20170706",NA,NA,"Kiba","Du","Street",2,"A"
"49","Ora20170706",NA,NA,"Ora","Du","Street",2,"0"
"50","Pf20170707",NA,NA,"Pf","Du","Green",2,"0"
"51","Frütee20170708",NA,NA,"Frütee","Du","Utilitybox",2,"A"
"52","Pf20170708",NA,NA,"Pf","Du","Pave",2,"0"
"53","Pf20170710",NA,NA,"Pf","Du","Pave",-1,"A"
"54","Pf20170711",NA,NA,"Pf","Du","Pave",1,"0"
"55","Him20170711",NA,NA,"Him","Du","Pave",-1,"0"
"56","Wald20170711",NA,NA,"Wald","Du","Pave",-2,"A"
"57","Pf20170712",NA,NA,"Pf","Du","Pave",1,"0"
"58","Multi20170712",NA,NA,"Multi","Du","Dirt",-2,"A"
"59","Zit20170716",NA,NA,"Zit","Du","Street",-2,"A"
"60","Zit20170719",NA,NA,"Zit","Du","Street",-1,"B"
"61","Granat20170719",NA,NA,"Granat","Du","Pave",1,"A"
"62","Pf20170720",NA,NA,"Pf","Du","Dirt",-1,"B"
"63","Multi20170720",NA,NA,"Multi","Du","Green",-1,"0"
"64","Pf20170722",NA,NA,"Pf","Du","House",2,"B"
"65","Zit20170722",NA,NA,"Zit","Du","House",2,"0"
"66","Zit20170722",NA,NA,"Zit","Du","Street",-2,"B"
"67","Granat20170725",NA,NA,"Granat","Du","Green",-2,"A"
"68","Multi20170725",NA,NA,"Multi","Du","Pave",1,"A"
"69","Zit20170726",NA,NA,"Zit","Mh","Street",-2,"0"
"70","Pf20170726",NA,NA,"Pf","Du","Pave",-1,"A"
"71","Multi20170726",NA,NA,"Multi","Du","Pave",1,"A"
"72","Pf20170726",NA,NA,"Pf","Du","Pave",1,"B"
"73","Kizi20170727",NA,NA,"Kizi","Du","Green",-2,"0"
"74","Multi20170727",NA,NA,"Multi","Du","Street",-2,"X"
"75","Multi20170728",NA,NA,"Multi","Du","Street",-2,"B"
"76","Pf20170729",NA,NA,"Pf","Du","Street",2,"A"
"77","Multi20170729",NA,NA,"Multi","Du","Street",-2,"A"
"78","Kizi20170720",NA,NA,"Kizi","Du","Street",-2,"0"
"79","Ora20170720",NA,NA,"Ora","Du","Street",-1,"A"
"80","Mango20170801",NA,NA,"Mango","Du","Street",2,"A"
"81","Zit20170801",NA,NA,"Zit","Du","Street",2,"B"
"82","Pf20170802",NA,NA,"Pf","Du","Street",-1,"B"
"83","Zit20170802",NA,NA,"Zit","Du","Street",-1,"B"
"84","Pf20170802",NA,NA,"Pf","Du","Street",2,"B"
"85","Multi20170801",NA,NA,"Multi","Du","Street",-2,"0"
"86","Pf20170805",NA,NA,"Pf","Du","Green",1,"B"
"87","Him20170805",NA,NA,"Him","Du","Street",-1,"0"
"88","Zit20170805",NA,NA,"Zit","Du","Street",1,"B"
"89","Granat20170806",NA,NA,"Granat","Du","Pave",-2,"A"
"90","Multi20170806",NA,NA,"Multi","Du","Dirt",-1,"B"
"91","Granat20170806",NA,NA,"Granat","Du","Street",2,"A"
"92","Zit20170807",NA,NA,"Zit","Du","Street",-2,"0"
"93","Zit20170808",NA,NA,"Zit","Du","Street",-2,"A"
"94","Pf20170808",NA,NA,"Pf","Du","Pave",-1,"B"
"95","Granat20170810",NA,NA,"Granat","Du","Street",-2,"A"
"96","Pf20170811",NA,NA,"Pf","Du","Street",-2,"B"
"97","Granat20170811",NA,NA,"Granat","Du","Green",2,"A"
"98","Multi20170811",NA,NA,"Multi","Du","Street",2,"A"
"99","Zit20170812",NA,NA,"Zit","Du","Street",-2,"A"
"100","Pf20170812",NA,NA,"Pf","Du","Pave",2,"B"
"101","Multi20170811",NA,NA,"Multi","Du","Pave",-2,"B"
"102","Pf20170811",NA,NA,"Pf","Du","Green",2,"B"
"103","Pf20170815",NA,NA,"Pf","Du","Dirt",1,"B"
"104","Zit20170815",NA,NA,"Zit","Du","Green",2,"B"
"105","Wald20170816",NA,NA,"Wald","Du","Dirt",2,"A"
"106","Ora20170816",NA,NA,"Ora","Du","Pave",2,"A"
"107","Granat20170817",NA,NA,"Granat","Du","Green",2,"A"
"108","Zit20170817",NA,NA,"Zit","Du","Green",-2,"0"
"109","Kizi20170818",NA,NA,"Kizi","Du","Dirt",2,"B"
"110","Mango20170818",NA,NA,"Mango","Du","Dirt",2,"A"
"111","Wald20170819",NA,NA,"Wald","Du","Pave",-1,"A"
"112","Pf20170820",NA,NA,"Pf","Du","Street",-1,"A"
"113","Multi20170820",NA,NA,"Multi","Du","Dirt",2,"B"
"114","Multi20170821",NA,NA,"Multi","Du","Street",-1,"B"
"115","Multi20170822",NA,NA,"Multi","Du","House",1,"B"
"116","Granat20170822",NA,NA,"Granat","Du","Pave",-1,"A"
"117","AOZ20170822",NA,NA,"AOZ","Du","Pave",-1,"A"
"118","Pf20170822",NA,NA,"Pf","Du","Street",2,"A"
"119","Kizi20170825",NA,NA,"Kizi","Du","House",2,"B"
"120","AOZ20170825",NA,NA,"AOZ","Du","Pave",2,"0"
"121","Multi20170826",NA,NA,"Multi","Du","Green",2,"A"
"122","Him20170826",NA,NA,"Him","Du","Green",-2,"0"
"123","Ora20170826",NA,NA,"Ora","Me","Pave",-2,"A"
"124","Multi20170826",NA,NA,"Multi","Du","Street",-2,"A"
"125","Zit20170826",NA,NA,"Zit","Du","Green",2,"A"
"126","Ora20171120",NA,NA,"Ora","Du","Street",2,"A"
"127","Multi20171120",NA,NA,"Multi","Du","Green",2,"A"
"128","Multi20171121",NA,NA,"Multi","Du","Pave",-2,"B"
"129","AOZ20171121",NA,NA,"AOZ","Du","Pave",-2,"0"
"130","Multi20171122",NA,NA,"Multi","Du","House",2,"A"
"131","Granat20171122",NA,NA,"Granat","Du","Street",2,"A"
"132","Granat20171121",NA,NA,"Granat","Du","Pave",-2,"A"
"133","Him20171128",NA,NA,"Him","Du","House",2,"B"
"134","Multi20171201",NA,NA,"Multi","Du","Dirt",-2,"A"
"135","Kiba20171201",NA,NA,"Kiba","Du","House",-1,"B"
"136","AOZ20171202",NA,NA,"AOZ","Du","Dirt",2,"B"
"137","Ora20171201",NA,NA,"Ora","Du","Dirt",2,"B"
"138","Him20171205",NA,NA,"Him","Du","Green",-2,"A"
"139","Kiba20171206",NA,NA,"Kiba","Du","House",2,"B"
"140","Granat20171208",NA,NA,"Granat","Du","Pave",-2,"A"
"141","Kizi20171209",NA,NA,"Kizi","Du","Street",-1,"A"
"142","Ora20171212",NA,NA,"Ora","Du","Street",-2,"B"
"143","Him20171212",NA,NA,"Him","Du","Green",2,"A"
"144","Granat20171211",NA,NA,"Granat","Du","Green",2,"A"
"145","Pf20171211",NA,NA,"Pf","Du","Street",-1,"B"
"146","Granat20171215",NA,NA,"Granat","Du","Train",2,"A"
"147","Kiba20171216",NA,NA,"Kiba","Du","Street",-2,"A"
"148","Zit20171217",NA,NA,"Zit","Du","Street",-1,"A"
"149","Granat20171219",NA,NA,"Granat","Du","Green",2,"A"
"150","Zit20171220",NA,NA,"Zit","Du","Street",-2,"A"
"151","Pf20171222",NA,NA,"Pf","Du","Street",-2,"B"
"152","Ora20171212",NA,NA,"Ora","Du","Pave",2,"A"
"153","Him20171221",NA,NA,"Him","Do","House",2,"0"
"154","Granat20171226",NA,NA,"Granat","Du","Street",2,"A"
"155","Ora20171227",NA,NA,"Ora","Du","Green",2,"A"
"156","Zit20171228",NA,NA,"Zit","Du","House",-1,"B"
"157","Pf20171229",NA,NA,"Pf","Du","Utilitybox",2,"B"
"158","Pf20180108",NA,NA,"Pf","Du","Green",2,"B"
"159","Pf20180112",NA,NA,"Pf","Du","Street",-2,"B"
"160","Pf20180112",NA,NA,"Pf","D","House",2,"B"
"161","Zit20180120",NA,NA,"Zit","Du","Dirt",1,"B"
"162","Wald20180122",NA,NA,"Wald","Du","Street",-2,"B"
"163","Multi20180121",NA,NA,"Multi","Du","Dirt",-1,"A"
"164","Multi20180126",NA,NA,"Multi","Du","Pave",2,"0"
"165","Zit20180126",NA,NA,"Zit","Du","Utilitybox",2,"A"
"166","Him20180127",NA,NA,"Him","Du","Utilitybox",2,"A"
"167","Granat20180128",NA,NA,"Granat","Du","Green",2,"A"
"168","AOZ20180120",NA,NA,"AOZ","Du","Pave",1,"B"
"169","Multi20180120",NA,NA,"Multi","Du","Pave",1,"A"
"170","Him20180121",NA,NA,"Him","Du","Green",-1,"A"
"171","Pf20180201",NA,NA,"Pf","Du","Street",-2,"A"
"172","Ora20180202",NA,NA,"Ora","Du","Street",1,"A"
"173","Granat20180201",NA,NA,"Granat","Du","Street",-2,"A"
"174","Ora20180205",NA,NA,"Ora","Du","House",2,"0"
"175","Pf20180208",NA,NA,"Pf","Du","Street",2,"A"
"176","Multi20180209",NA,NA,"Multi","Du","Street",-1,"B"
"177","Multi20180212",NA,NA,"Multi","Du","Dirt",2,"B"
"178","Zit20180212",NA,NA,"Zit","Du","Dirt",2,"B"
"179","Zit20180212",NA,NA,"Zit","Du","Dirt",2,"B"
"180","Kiba20180211",NA,NA,"Kiba","W","House",2,"A"
"181","Multi20180211",NA,NA,"Multi","W","House",2,"B"
"182","Granat20180215",NA,NA,"Granat","Du","Dirt",2,"A"
"183","Pf20180215",NA,NA,"Pf","Du","Pave",2,"B"
"184","Multi20180216",NA,NA,"Multi","Du","Pave",2,"B"
"185","Him20180218",NA,NA,"Him","Du","Street",-2,"A"
"186","Him20180218",NA,NA,"Him","Du","Pave",-2,"B"
"187","Multi20180219",NA,NA,"Multi","Du","Pave",-2,"A"
"188","Pf20180220",NA,NA,"Pf","Du","Green",1,"A"
"189","Pf20180221",NA,NA,"Pf","Du","Trash",2,"A"
"190","Granat20180221",NA,NA,"Granat","Du","House",2,"A"
"191","Granat20180222",NA,NA,"Granat","Du","Street",2,"A"
"192","Pf20180222",NA,NA,"Pf","Du","Street",-2,"B"
"193","Pf20180222",NA,NA,"Pf","Du","Street",-2,"B"
"194","Granat20180221",NA,NA,"Granat","Du","Street",-1,"A"
"195","Pf20180225",NA,NA,"Pf","Du","Green",-2,"B"
"196","Ora20180226",NA,NA,"Ora","Du","Green",2,"B"
"197","Ora20180226",NA,NA,"Ora","Du","Pave",2,"B"
"198","Granat20180227",NA,NA,"Granat","Du","House",-2,"A"
"199","Zit20180228",NA,NA,"Zit","Du","Street",-2,"A"
"200","Zit20180228",NA,NA,"Zit","Du","Pave",-2,"B"
"201","Kizi20180301",NA,NA,"Kizi","Du","House",2,"B"
"202","Kiba20180301",NA,NA,"Kiba","Du","Street",2,"B"
"203","Multi20180305",NA,NA,"Multi","Du","Street",-2,"A"
"204","Ora20180305",NA,NA,"Ora","Du","Street",-2,"A"
"205","Pf20180306",NA,NA,"Pf","Du","Utilitybox",2,"A"
